state	x2001	x2002	x2003	x2004	x2005	x2006	x2007	x2008	x2009	x2010	fips
Arizona	0.0559	0.0506	0.0522	0.0584	0.058	0.0545	0.056	0.0548	0.0475	0	04
Hawaii	0	0	0	0	0	0	0	0	0	0	15
Idaho	0	0	0	0	0	0	0	0	0	0	16
Indiana	0	0	0	0	0	0	0	0	0	0	18
Mississippi	0	0	0	0	0	0	0	0	0	0	28
Montana	0	0	0	0	0	0	0	0	0	0	30
New Hampshire	0	0	0	0	0	0	0	0	0	0	33
North Dakota	0	0	0	0	0	0	0	0	0	0	38
South Dakota	0	0	0	0	0	0	0	0	0	0	46
Utah	0	0	0	0	0	0	0	0	0	0	49
Wyoming	0	0	0	0	0	0	0	0	0	0	56
Rhode Island	0	0	0	0	0	0	0	0	0.0106	0.0105	44
Minnesota	0.0188	0.0207	0.0187	0.0191	0.0177	0.0188	0.0159	0.0162	0.0146	0.0149	27
Alaska	0	0	0	0	0	0	0	0	0.0197	0.0236	02
Ohio	0.0891	0.0951	0.0916	0.052	0.0437	0.0341	0.0958	0.0809	0.0242	0.0243	39
Nevada	0.0108	0.0155	0.0223	0.0245	0.0215	0.0224	0.0223	0.0226	0.0224	0.0277	32
Missouri	0.0488	0.0434	0.0396	0.0407	0.0395	0.043	0.0401	0.0394	0.0389	0.0372	29
Alabama	0.0126	0.0216	0.0161	0.0165	0.017	0.0178	0.0374	0.0552	0.064	0.0637	01
Delaware	0.0796	0.0849	0.0829	0.0825	0.0777	0.0761	0.0728	0.0735	0.0749	0.0739	10
Washington	0.0599	0.0591	0.0595	0.0591	0.0603	0.0578	0.0628	0.0717	0.0741	0.0768	53
Oregon	0.0572	0.0581	0.051	0.0505	0.0502	0.0485	0.069	0.0834	0.085	0.0769	41
Connecticut	0.0947	0.1043	0.1269	0.1456	0.1372	0.1564	0.1597	0.1092	0.1256	0.1297	09
New Mexico	0.0139	0.0117	0.0068	0.0092	0.0679	0.0895	0.1279	0.1652	0.1675	0.1469	35
Massachusetts	0.1156	0.1048	0.0879	0.0834	0.0977	0.1032	0.114	0.1134	0.1411	0.1498	25
Virginia	0.0631	0.063	0.0618	0.106	0.1112	0.1255	0.1298	0.1413	0.1461	0.1546	51
Pennsylvania	0.0167	0.0182	0.0168	0.0504	0.0559	0.0718	0.1084	0.1637	0.1685	0.1601	42
Michigan	0.1912	0.1923	0.188	0.1892	0.1624	0.1687	0.1815	0.1905	0.1595	0.1799	26
California	0.0851	0.0868	0.1055	0.109	0.0987	0.108	0.1238	0.1259	0.1826	0.1882	06
Kansas	0.0584	0.147	0.1482	0.1494	0.1452	0.1563	0.1606	0.2117	0.2326	0.2106	20
Colorado	0.1397	0.138	0.1122	0.1073	0.1352	0.1457	0.1559	0.2017	0.2107	0.2124	08
Tennessee	0.0231	0.0321	0.0307	0.032	0.1062	0.1562	0.211	0.2157	0.2157	0.2148	47
North Carolina	0.0116	0.0562	0.0881	0.1024	0.1222	0.1483	0.2245	0.25	0.2474	0.2419	37
Nebraska	0.0151	0.0255	0.0353	0.0276	0.0362	0.0398	0.0574	0.0727	0.2727	0.2651	31
Maine	0.0969	0.1083	0.1189	0.1423	0.1552	0.1633	0.1847	0.1897	0.2444	0.2687	23
New Jersey	0.2042	0.2412	0.2555	0.2559	0.2489	0.2528	0.2568	0.2653	0.2685	0.2792	34
U.S. avg.	0.1434	0.1603	0.1667	0.173	0.1987	0.2185	0.2401	0.2542	0.2744	0.2805	#N/A
Illinois	0.215	0.2438	0.2136	0.2608	0.2298	0.267	0.3106	0.2873	0.318	0.2894	17
Kentucky	0.2387	0.277	0.2705	0.2961	0.2931	0.2926	0.2843	0.2827	0.2957	0.3193	21
Louisiana	0.1184	0.2091	0.2168	0.1979	0.216	0.2443	0.2987	0.3168	0.3311	0.328	22
Maryland	0.2516	0.2631	0.2921	0.3113	0.3072	0.3402	0.3675	0.3511	0.3597	0.3714	24
South Carolina	0.2939	0.3228	0.332	0.3039	0.3101	0.3782	0.3544	0.3814	0.3859	0.4066	45
Arkansas	0.0607	0.0614	0.0606	0.1223	0.1819	0.2144	0.2813	0.4372	0.4195	0.4406	05
New York	0.2456	0.2975	0.3019	0.2853	0.2863	0.3459	0.3888	0.4261	0.4667	0.4506	36
Texas	0.3923	0.4302	0.451	0.4598	0.443	0.4523	0.4494	0.4543	0.5	0.5174	48
Iowa	0.0408	0.0453	0.0454	0.0442	0.0447	0.0404	0.1738	0.2871	0.3737	0.5207	19
Wisconsin	0.192	0.2484	0.2611	0.2892	0.3209	0.3608	0.4013	0.4845	0.5033	0.5522	55
West Virginia	0.2423	0.2892	0.3274	0.3535	0.3989	0.4584	0.4617	0.506	0.5491	0.582	54
Georgia	0.5341	0.5427	0.5507	0.5465	0.5148	0.5325	0.5338	0.5341	0.59	0.5928	13
Oklahoma	0.556	0.5939	0.6437	0.6846	0.7015	0.6839	0.7103	0.7098	0.7133	0.7348	40
Vermont	0.086	0.0978	0.3634	0.4487	0.4697	0.4492	0.4957	0.5296	0.5	0.7424	50
Florida	0	0	0	0	0.4654	0.5665	0.6129	0.6675	0.73	0.7599	12